Method,Num_Modes,Error_2norm,Time_Total
AMLS,80,NaN,0
AMLS,100,14.428090,71.9362
AMLS,120,1.701661,80.5882
AMLS,140,0.260582,88.3633
AMLS,160,0.175753,97.6909
AMLS,180,0.139251,111.958
AMLS,200,0.113728,122.565
AMLS,220,0.096854,147.971
AMLS,240,0.084169,150.308
AMLS,260,0.073670,150.11
AMLS,280,0.065427,179.618
AMLS,300,0.058344,222.45
AMLS,320,0.052140,244.378
AMLS,340,0.046965,256.712
AMLS,360,0.042836,267.353
AMLS,380,0.039216,283.983
AMLS,400,0.036192,325.654
AMLS,420,0.033616,384.309
AMLS,440,0.031330,372.496
AMLS,460,0.029272,331.681
AMLS,480,0.027371,407.015
AMLS,500,0.025534,444.746
AMLS,520,0.023929,531.43
AMLS,540,0.022506,540.317
AMLS,560,0.021293,618.827
AMLS,580,0.020196,560.901
AMLS,600,0.019176,759.991
AMLS,620,0.018219,615.596
AMLS,640,0.017331,649.057
AMLS,660,0.016483,757.967
AMLS,680,0.015737,735.024
AMLS,700,0.015070,794.06
AMLS,720,0.014454,758.11
AMLS,740,0.013837,801.182
AMLS,760,0.013265,904.41
AMLS,780,0.012756,748.434
AMLS,800,0.012276,907.121
AMLS,820,0.011835,1004.28
AMLS,840,0.011422,1079.02
AMLS,860,0.011033,926.793
AMLS,880,0.010660,1166.59
AMLS,900,0.010305,1200.63
AMLS,920,0.009964,1126.88
AMLS,940,0.009629,1156.78
AMLS,960,0.009314,1330.33
AMLS,980,0.009030,1225.19
AMLS,1000,0.008750,1323.27
AMLS,1020,NaN,0
CB-CMS,80,3.419300e+01,322.207
CB-CMS,100,2.856574e+00,342.003
CB-CMS,120,2.751485e-01,361.608
CB-CMS,140,1.923734e-01,383.058
CB-CMS,160,1.461273e-01,400.458
CB-CMS,180,1.175176e-01,417.046
CB-CMS,200,9.785449e-02,442.496
CB-CMS,220,8.206825e-02,462.633
CB-CMS,240,6.961484e-02,490.221
CB-CMS,260,6.014551e-02,510.051
CB-CMS,280,5.336260e-02,533.769
CB-CMS,300,4.761944e-02,519.449
CB-CMS,320,4.312051e-02,550.223
CB-CMS,340,3.916139e-02,560.231
CB-CMS,360,3.560197e-02,576.166
CB-CMS,380,3.231065e-02,592.222
CB-CMS,400,2.985650e-02,609.92
CB-CMS,420,2.739831e-02,639.239
CB-CMS,440,2.554605e-02,665.37
CB-CMS,460,2.397080e-02,681.491
CB-CMS,480,2.232280e-02,710.723
CB-CMS,500,2.250397e-02,689.179
CB-CMS,520,2.250397e-02,687.344
CB-CMS,540,2.250397e-02,687.074
CB-CMS,560,2.250397e-02,696.857
CB-CMS,580,1.596720e-02,820.194
CB-CMS,600,1.596720e-02,824.074
CB-CMS,620,1.596720e-02,829.53
CB-CMS,640,1.596720e-02,826.291
CB-CMS,660,1.596720e-02,829.823
CB-CMS,680,1.596720e-02,827.084
CB-CMS,700,1.596720e-02,821.239
CB-CMS,720,1.377158e-02,951.129
CB-CMS,740,1.243236e-02,975.229
CB-CMS,760,1.243236e-02,971.554
CB-CMS,780,1.243236e-02,966.201
CB-CMS,800,1.243236e-02,969.014
CB-CMS,820,1.243236e-02,973.39
CB-CMS,840,1.243236e-02,961.481
CB-CMS,860,1.004737e-02,1103.43
CB-CMS,880,1.004737e-02,1098.96
CB-CMS,900,1.004737e-02,1109.51
CB-CMS,920,1.004737e-02,1102.2
CB-CMS,940,1.004737e-02,1108.33
CB-CMS,960,1.004737e-02,1097.35
CB-CMS,980,9.356368e-03,1121.05
CB-CMS,1000,8.381352e-03,1254.02
CB-CMS,1020,8.381352e-03,1249.28
CMS-INTRD,100,9.0892e-01,286.839
CMS-INTRD,120,3.5941e-01,194.269
CMS-INTRD,140,2.4577e-01,212.54
CMS-INTRD,160,1.9099e-01,230.951
CMS-INTRD,180,1.5627e-01,240.633
CMS-INTRD,200,1.3085e-01,288.026
CMS-INTRD,220,1.1300e-01,343.299
CMS-INTRD,240,9.6136e-02,371.392
CMS-INTRD,260,8.3827e-02,403.203
CMS-INTRD,280,7.3261e-02,441.213
CMS-INTRD,300,6.5297e-02,450.392
CMS-INTRD,320,5.8578e-02,477.024
CMS-INTRD,340,5.3374e-02,521.53
CMS-INTRD,360,4.8455e-02,506.966
CMS-INTRD,380,4.3988e-02,464.856
CMS-INTRD,400,4.0848e-02,574.181
CMS-INTRD,420,3.7372e-02,560.494
CMS-INTRD,440,3.4658e-02,562.491
CMS-INTRD,460,3.2183e-02,606.881
CMS-INTRD,480,3.0467e-02,701.172
CMS-INTRD,500,3.0781e-02,625.47
CMS-INTRD,520,3.0762e-02,714.417
CMS-INTRD,540,3.0745e-02,784.601
CMS-INTRD,560,3.0728e-02,669.685
CMS-INTRD,580,2.1534e-02,787.583
CMS-INTRD,600,2.1525e-02,793.626
CMS-INTRD,620,2.1516e-02,806.256
CMS-INTRD,640,2.1506e-02,843.819
CMS-INTRD,660,2.1498e-02,856.795
CMS-INTRD,680,2.1491e-02,894.153
CMS-INTRD,700,2.1486e-02,980.943
CMS-INTRD,720,1.8916e-02,973.836
CMS-INTRD,740,1.6861e-02,1031.55
CMS-INTRD,760,1.6857e-02,1278.96
CMS-INTRD,780,1.6855e-02,1276.24
CMS-INTRD,800,1.6852e-02,1214.02
CMS-INTRD,820,1.6850e-02,1157.56
CMS-INTRD,840,1.6848e-02,1171.15
CMS-INTRD,860,1.3626e-02,1310.57
CMS-INTRD,880,1.3625e-02,1327.29
CMS-INTRD,900,1.3624e-02,1501.98
CMS-INTRD,920,1.3623e-02,1729.1
CMS-INTRD,940,1.3622e-02,1651.75
CMS-INTRD,960,1.3622e-02,1658.76
CMS-INTRD,980,1.1794e-02,1591.44
CMS-INTRD,1000,1.1423e-02,1649.88
PD,30,1.5185e+01,64.3427
PD,35,9.6097e+00,84.8869
PD,40,5.3741e+00,97.214
PD,45,3.5915e+00,110.749
PD,50,2.3266e+00,117.741
PD,55,1.6331e+00,136.397
PD,60,1.0120e+00,180.192
PD,65,6.4947e-01,200.085
PD,70,3.7506e-01,273.045
PD,75,2.0223e-01,335.543
PD,80,9.7909e-02,369.026
PD,85,4.7506e-02,419.991
PD,90,2.2658e-02,557.676
PD,95,6.2270e-03,654.949
PD,100,1.1508e-03,714.094
PD,105,1.2425e-04,828.099
PD,110,4.4116e-05,898.35
PD,115,1.8171e-05,1128.38
PD-NC,30,3.4040e+02,56.7224
PD-NC,35,8.4467e+01,48.319
PD-NC,40,4.9519e+01,57.6452
PD-NC,45,3.8648e+01,64.9603
PD-NC,50,2.5103e+01,77.279
PD-NC,55,1.7510e+01,84.7294
PD-NC,60,1.0703e+01,102.979
PD-NC,65,5.4447e+00,110.199
PD-NC,70,3.0420e+00,118.65
PD-NC,75,1.7507e+00,139.889
PD-NC,80,1.1380e+00,154.939
PD-NC,85,8.4117e-01,231.999
PD-NC,90,7.6873e-01,310.534
PD-NC,95,7.4417e-01,424.055
PD-NC,100,7.3529e-01,615.928
PD-NC,105,7.2993e-01,794.18
PD-NC,110,7.2673e-01,1113.22
PD-NC,115,7.3730e-01,1510.02
PD-NC,120,7.3349e-01,1448.23
PD-NC,125,7.2847e-01,1766.97
PD-NC,130,7.2452e-01,2160.95
PD-NC,135,7.2115e-01,2297.28
PD-NC,140,7.1852e-01,2852.81
PD-NC,145,7.1624e-01,2614.11
PD-NC,150,7.1320e-01,2727.04
PD-NC,155,7.1031e-01,3104.35
PD-NC,160,7.0806e-01,2300.14
PD-NC,165,7.0594e-01,2606.57
PD-NC,170,7.0293e-01,2656.13
PD-NC,175,7.0119e-01,2740.97
PD-NC,180,6.9876e-01,2922.93
PD-NC,185,6.9712e-01,2999.41
PD-NC,190,6.9565e-01,3507.22
PD-NC,195,6.9354e-01,3557.92
PD-NC,200,6.9219e-01,3738.26
PD-NC,205,6.8997e-01,3946.78
PD-NC,210,6.8826e-01,4336.08
PD-NC,215,6.8713e-01,4372.1
PD-NC,220,6.8554e-01,4558.9
PD-NC,225,NaN,316.959
