Method,Num_Modes,Error_2norm,Time_Total
AMLS,100,57.323297,9.69065
AMLS,110,13.510850,10.5945
AMLS,120,1.764497,11.0706
AMLS,130,0.372434,12.3703
AMLS,140,0.145520,14.0366
AMLS,150,0.121417,15.9053
AMLS,160,0.105178,15.8072
AMLS,170,0.092245,17.7544
AMLS,180,0.082443,17.7721
AMLS,190,0.073983,18.843
AMLS,200,0.067025,21.3004
AMLS,210,0.061495,22.7895
AMLS,220,0.056586,28.3941
AMLS,230,0.052053,31.8503
AMLS,240,0.048186,28.5041
AMLS,250,0.044960,34.3194
AMLS,260,0.042165,32.6482
AMLS,270,0.039599,38.2145
AMLS,280,0.037163,39.9247
AMLS,290,0.034957,38.5972
AMLS,300,0.032987,38.901
AMLS,310,0.031181,46.531
AMLS,320,0.029615,43.3751
AMLS,330,0.028149,53.0899
AMLS,340,0.026795,51.2597
AMLS,350,0.025536,50.2616
AMLS,360,0.024155,63.4373
AMLS,370,0.023001,57.0767
AMLS,380,0.021937,61.616
AMLS,390,0.021030,62.0082
AMLS,400,0.020171,69.9738
AMLS,410,0.019365,64.305
AMLS,420,0.018502,87.2729
AMLS,430,0.017807,75.7841
AMLS,440,0.017159,99.4929
AMLS,450,0.016518,89.1977
AMLS,460,0.015925,100.731
AMLS,470,0.015369,102.954
AMLS,480,0.014854,99.2838
AMLS,490,0.014326,104.122
AMLS,500,0.013856,111.176
AMLS,510,0.013460,117.964
AMLS,520,0.013074,122.576
AMLS,530,0.012663,111.224
AMLS,540,0.012316,128.047
AMLS,550,0.011933,131.191
AMLS,560,0.011613,127.981
AMLS,570,0.011311,129.415
AMLS,580,0.011002,139.297
AMLS,590,0.010700,156.471
AMLS,600,0.010410,152.296
AMLS,610,0.010141,157.894
AMLS,620,0.009906,172.874
AMLS,630,0.009649,152.547
AMLS,640,0.009385,145.872
AMLS,650,0.009142,203.13
AMLS,660,0.008919,177.054
AMLS,670,0.008726,202.748
AMLS,680,0.008520,185.738
AMLS,690,0.008326,173.003
AMLS,700,0.008114,194.666
AMLS,710,0.007931,188.766
AMLS,720,0.007746,195.021
AMLS,730,0.007578,176.676
AMLS,740,0.007432,202.915
AMLS,750,0.007273,209.176
AMLS,760,0.007132,246.59
AMLS,770,0.006982,206.139
AMLS,780,0.006853,218.853
AMLS,790,0.006726,236.923
AMLS,800,0.006593,251.475
AMLS,810,0.006479,238.86
AMLS,820,0.006352,250.565
AMLS,830,0.006230,234.758
AMLS,840,0.006099,255.654
AMLS,850,0.005983,229.436
AMLS,860,0.005868,229.655
AMLS,870,0.005767,337.515
AMLS,880,0.005650,277.791
AMLS,890,0.005546,310.888
AMLS,900,0.005444,294.093
AMLS,910,0.005356,333.236
AMLS,920,0.005270,312.494
AMLS,930,0.005181,402.587
AMLS,940,0.005096,374.497
AMLS,950,0.005017,423.741
AMLS,960,0.004937,408.227
AMLS,970,0.004852,389.689
AMLS,980,0.004765,413.801
AMLS,990,0.004685,352.841
AMLS,1000,0.004604,381.754
AMLS,1010,0.004525,399.202
AMLS,1020,0.004452,517.94
AMLS,1030,0.004383,456.569
AMLS,1040,0.004317,322.24
AMLS,1050,0.004245,460.286
AMLS,1060,0.004179,385.537
AMLS,1070,0.004113,459.999
AMLS,1080,0.004051,385.556
AMLS,1090,0.003995,434.579
AMLS,1100,0.003936,447.858
AMLS,1110,0.003883,481.594
AMLS,1120,0.003828,534.612
AMLS,1130,0.003771,421.892
AMLS,1140,0.003720,459.46
AMLS,1150,0.003669,483.357
AMLS,1160,0.003625,466.245
AMLS,1170,0.003577,489.634
AMLS,1180,0.003528,516.667
AMLS,1190,0.003479,469.554
AMLS,1200,0.003432,574.06
AMLS,1210,0.003385,472.12
AMLS,1220,0.003339,623.46
AMLS,1230,0.003292,603.523
AMLS,1240,0.003250,528.707
AMLS,1250,0.003211,660.368
AMLS,1260,0.003169,707.374
AMLS,1270,0.003123,649.578
AMLS,1280,0.003084,688.632
AMLS,1290,0.003037,603.25
AMLS,1300,0.002995,692.106
AMLS,1310,0.002955,648.667
AMLS,1320,0.002916,600.426
AMLS,1330,0.002877,727.473
AMLS,1340,0.002841,641.744
AMLS,1350,0.002809,735.109
AMLS,1360,0.002775,763.65
AMLS,1370,0.002742,846.161
AMLS,1380,0.002708,743.654
AMLS,1390,0.002678,755.471
AMLS,1400,0.002646,698.867
AMLS,1410,0.002616,730.062
AMLS,1420,0.002586,774.969
AMLS,1430,0.002552,772.171
AMLS,1440,0.002524,808.739
AMLS,1450,0.002497,834.373
AMLS,1460,0.002470,974.385
AMLS,1470,0.002442,734.779
AMLS,1480,0.002417,871.985
AMLS,1490,0.002392,899.023
AMLS,1500,0.002364,814.348
AMLS,1510,0.002338,942.68
AMLS,1520,0.002312,855.909
AMLS,1530,0.002286,911.244
AMLS,1540,0.002259,773.476
AMLS,1550,0.002236,1032.05
AMLS,1560,0.002213,914.751
AMLS,1570,0.002191,821.488
AMLS,1580,0.002167,915.522
AMLS,1590,0.002147,1019.09
AMLS,1600,0.002127,998.738
AMLS,1610,0.002106,941.132
AMLS,1620,0.002084,989.328
AMLS,1630,0.002065,899.689
AMLS,1640,0.002047,1025.03
AMLS,1650,0.002030,967.738
AMLS,1660,0.002011,941.389
AMLS,1670,0.001992,993.141
AMLS,1680,0.001972,1058.74
AMLS,1690,0.001953,851.936
AMLS,1700,0.001935,1049.96
AMLS,1710,0.001917,1011.54
AMLS,1720,0.001900,1149.81
AMLS,1730,0.001884,929.795
AMLS,1740,0.001868,839.116
AMLS,1750,0.001851,1037.17
AMLS,1760,0.001834,969.68
AMLS,1770,0.001818,961.16
