Method,Num_Modes,Error_2norm,Time_Total
AMLS,60,0.372728,5.60522
AMLS,70,0.229014,6.29984
AMLS,80,0.177754,7.87311
AMLS,90,0.145447,7.88399
AMLS,100,0.123417,8.18766
AMLS,110,0.107503,8.24781
AMLS,120,0.094704,9.23646
AMLS,130,0.083998,10.3293
AMLS,140,0.075556,9.65667
AMLS,150,0.068116,11.3372
AMLS,160,0.062135,10.8844
AMLS,170,0.057500,11.6197
AMLS,180,0.053210,12.5006
AMLS,190,0.049485,13.0115
AMLS,200,0.046105,13.325
AMLS,210,0.043179,14.5844
AMLS,220,0.040683,16.1589
AMLS,230,0.038457,17.1498
AMLS,240,0.036500,16.7722
AMLS,250,0.034592,17.9484
AMLS,260,0.032698,20.0529
AMLS,270,0.031107,19.901
AMLS,280,0.029670,20.3737
AMLS,290,0.028283,22.8572
AMLS,300,0.027046,27.1842
AMLS,310,0.025830,31.1764
AMLS,320,0.024799,30.2268
AMLS,330,0.023858,33.5818
AMLS,340,0.022919,33.9004
AMLS,350,0.022017,34.9238
AMLS,360,0.021192,37.4336
AMLS,370,0.020432,37.6991
AMLS,380,0.019687,40.2572
AMLS,390,0.019038,41.5307
AMLS,400,0.018440,45.319
CB-CMS,60,3.300613e-01,172.348
CB-CMS,70,2.323506e-01,175.765
CB-CMS,80,1.771485e-01,178.618
CB-CMS,90,1.651977e-01,177.324
CB-CMS,100,1.437898e-01,173.538
CB-CMS,110,1.399119e-01,176.615
CB-CMS,120,1.421562e-01,180.453
CB-CMS,130,1.142782e-01,182.406
CB-CMS,140,9.980864e-02,185.807
CB-CMS,150,9.069069e-02,189.941
CB-CMS,160,1.168825e-01,193.739
CB-CMS,170,8.773617e-02,206.284
CB-CMS,180,9.319656e-02,202.375
CB-CMS,190,1.562635e-01,210.068
CB-CMS,200,6.423363e-02,206.472
CB-CMS,210,6.003989e-02,211.211
CB-CMS,220,7.828895e-02,213.338
CB-CMS,230,5.526121e-02,222.163
CB-CMS,240,8.330203e-02,227.11
CB-CMS,250,6.015861e-02,227.656
CB-CMS,260,5.679100e-02,234.894
CB-CMS,270,5.250474e-02,233.841
CB-CMS,280,4.564620e-02,235.779
CB-CMS,290,4.476872e-02,236.296
CB-CMS,300,5.615309e-02,239.989
CB-CMS,310,9.815461e-02,249.474
CB-CMS,320,3.767391e-02,268.991
CB-CMS,330,7.226455e-02,254.149
CB-CMS,340,3.652071e-02,259.231
CB-CMS,350,3.537287e-02,263.97
CB-CMS,360,4.826430e-02,285.459
CB-CMS,370,1.188649e-01,276.645
CB-CMS,380,1.046060e-01,279.163
CB-CMS,390,6.583944e-02,274.258
CB-CMS,400,4.732811e-02,288.611
CMS-INTRD,100,1.1659e+00,31.1519
CMS-INTRD,110,8.1083e-01,33.3665
CMS-INTRD,120,5.4536e-01,30.7992
CMS-INTRD,130,4.4934e-01,33.4025
CMS-INTRD,140,3.8545e-01,36.4327
CMS-INTRD,150,3.3806e-01,43.6973
CMS-INTRD,160,3.1458e-01,48.773
CMS-INTRD,170,2.8503e-01,48.223
CMS-INTRD,180,2.6186e-01,53.9579
CMS-INTRD,190,2.4734e-01,59.5093
CMS-INTRD,200,2.2490e-01,61.5774
CMS-INTRD,210,2.0590e-01,67.6362
CMS-INTRD,220,1.9641e-01,77.2906
CMS-INTRD,230,1.8423e-01,79.8877
CMS-INTRD,240,1.7026e-01,84.4409
CMS-INTRD,250,1.6255e-01,98.0595
CMS-INTRD,260,1.5585e-01,103.323
CMS-INTRD,270,1.4798e-01,105.537
CMS-INTRD,280,1.4052e-01,121.186
CMS-INTRD,290,1.3510e-01,155.166
CMS-INTRD,300,1.2905e-01,166.358
CMS-INTRD,310,1.2412e-01,185.309
CMS-INTRD,320,1.2044e-01,202.08
CMS-INTRD,330,1.1545e-01,202.314
CMS-INTRD,340,1.1065e-01,242.567
CMS-INTRD,350,1.0688e-01,250.11
CMS-INTRD,360,1.0211e-01,255.001
CMS-INTRD,370,9.9555e-02,270.917
CMS-INTRD,380,9.6080e-02,298.935
CMS-INTRD,390,9.2113e-02,298.954
CMS-INTRD,400,8.9388e-02,313.088
CMS-INTRD,410,8.6122e-02,334.153
CMS-INTRD,420,8.3193e-02,339.807
CMS-INTRD,430,8.1319e-02,348.406
CMS-INTRD,440,7.8658e-02,354.436
CMS-INTRD,450,7.7249e-02,375.878
CMS-INTRD,460,7.5019e-02,376.896
CMS-INTRD,470,7.2775e-02,405.275
CMS-INTRD,480,7.1069e-02,398.223
CMS-INTRD,490,6.8980e-02,415.863
CMS-INTRD,500,5.8447e-02,469.643
CMS-INTRD,510,5.8281e-02,486.056
CMS-INTRD,520,5.8108e-02,491.167
CMS-INTRD,530,5.7951e-02,501.998
CMS-INTRD,540,5.7819e-02,511.297
CMS-INTRD,550,5.7675e-02,513.761
CMS-INTRD,560,5.7533e-02,512.425
CMS-INTRD,570,5.7413e-02,522.165
CMS-INTRD,580,5.6007e-02,517.739
CMS-INTRD,590,5.5897e-02,477.441
CMS-INTRD,600,5.5343e-02,550.905
CMS-INTRD,610,4.6271e-02,602.821
CMS-INTRD,620,4.6176e-02,602.98
CMS-INTRD,630,4.6075e-02,605.439
CMS-INTRD,640,4.5975e-02,614.288
CMS-INTRD,650,4.5879e-02,614.024
CMS-INTRD,660,4.5795e-02,639.939
CMS-INTRD,670,4.5705e-02,639.928
CMS-INTRD,680,4.5631e-02,656.676
CMS-INTRD,690,4.5547e-02,641.393
CMS-INTRD,700,4.4567e-02,668.92
CMS-INTRD,710,4.4184e-02,710.094
CMS-INTRD,720,4.1035e-02,713.493
CMS-INTRD,730,3.7253e-02,770.282
CMS-INTRD,740,3.7198e-02,780.71
CMS-INTRD,750,3.7135e-02,780.66
CMS-INTRD,760,3.7083e-02,796.531
CMS-INTRD,770,3.7037e-02,788.606
CMS-INTRD,780,3.6984e-02,806.199
CMS-INTRD,790,3.6930e-02,809.874
CMS-INTRD,800,3.6863e-02,820.407
CMS-INTRD,810,3.6831e-02,833.321
CMS-INTRD,820,3.5988e-02,679.046
CMS-INTRD,830,3.5446e-02,817.951
CMS-INTRD,840,3.5420e-02,937.158
CMS-INTRD,850,3.2093e-02,961.894
CMS-INTRD,860,3.2087e-02,968.588
CMS-INTRD,870,3.2087e-02,971.77
CMS-INTRD,880,3.2087e-02,973.154
CMS-INTRD,890,3.2087e-02,961.552
CMS-INTRD,900,3.2087e-02,965.913
CMS-INTRD,910,3.2087e-02,963.604
CMS-INTRD,920,3.2087e-02,958.306
CMS-INTRD,930,3.1224e-02,1052.92
CMS-INTRD,940,2.9945e-02,1037.63
CMS-INTRD,950,2.8827e-02,1042.61
CMS-INTRD,960,2.8827e-02,1029.41
CMS-INTRD,970,2.8827e-02,1057.77
CMS-INTRD,980,2.8827e-02,1046.38
CMS-INTRD,990,2.8827e-02,1043.08
CMS-INTRD,1000,2.8827e-02,1035.36
PD,30,1.3928e+01,4.85937
PD,40,1.3928e+01,5.08037
PD,50,1.4011e-01,7.5619
PD,60,5.4949e-02,13.6416
PD,70,2.5409e-02,17.681
PD,80,1.3954e-02,23.0096
PD,90,9.6954e-03,26.5015
PD,100,7.3980e-03,33.1976
PD,110,5.9253e-03,35.0123
PD,120,4.5261e-03,44.8882
PD,130,3.3982e-03,48.6125
PD,140,2.4383e-03,57.3438
PD,150,1.9937e-03,65.457
PD,160,1.6471e-03,68.8456
PD,170,1.3441e-03,76.5706
PD,180,1.0557e-03,90.8653
PD,190,8.8424e-04,94.2473
PD,200,7.3911e-04,109.491
PD,210,6.1449e-04,117.947
PD,220,5.3983e-04,125.742
PD,230,4.3951e-04,129.337
PD,240,3.9024e-04,139.195
PD,250,3.3342e-04,172.408
PD,260,2.8743e-04,171.817
PD,270,2.4315e-04,185.713
PD,280,2.2473e-04,198.806
PD,290,1.9415e-04,210.258
PD,300,1.7199e-04,246.758
PD,310,1.4975e-04,240.366
PD,320,1.3236e-04,258.234
PD,330,1.2355e-04,267.759
PD,340,9.8515e-05,288.941
PD,350,8.5207e-05,303.782
PD,360,7.6061e-05,323.143
PD,370,6.7972e-05,331.589
PD,380,6.1718e-05,366.766
PD,390,5.4371e-05,385.769
PD,400,4.5963e-05,437.476
