Method,Num_Modes,Error_2norm,Time_Total
AMLS,50,0.553781,6.15885
AMLS,60,0.215258,8.05452
AMLS,70,0.119448,7.93002
AMLS,80,0.085238,8.64222
AMLS,90,0.066967,8.61972
AMLS,100,0.051910,9.48561
AMLS,110,0.041345,10.3829
AMLS,120,0.034321,12.0401
AMLS,130,0.029589,11.8231
AMLS,140,0.025626,13.3866
AMLS,150,0.022452,14.6856
AMLS,160,0.020020,15.4631
AMLS,170,0.017596,14.9008
AMLS,180,0.016014,17.4149
AMLS,190,0.014399,17.6436
AMLS,200,0.013003,18.3248
AMLS,210,0.011784,22.3152
AMLS,220,0.010775,23.5778
AMLS,230,0.009990,21.6712
AMLS,240,0.009255,23.1296
AMLS,250,0.008619,24.4123
AMLS,260,0.008116,27.9394
AMLS,270,0.007601,29.9106
AMLS,280,0.007110,29.0691
AMLS,290,0.006710,29.1813
AMLS,300,0.006308,37.3375
AMLS,310,0.005951,39.3488
AMLS,320,0.005654,40.5809
AMLS,330,0.005325,39.7638
AMLS,340,0.005044,43.3984
AMLS,350,0.004784,44.8808
AMLS,360,0.004570,52.3856
AMLS,370,0.004379,46.6844
AMLS,380,0.004166,49.7323
AMLS,390,0.003982,56.0926
AMLS,400,0.003819,58.4196
CB-CMS,30,6.190281e+00,56.3723
CB-CMS,50,1.843757e-01,56.7443
CB-CMS,60,9.334252e-02,62.5414
CB-CMS,70,7.421339e-02,61.2909
CB-CMS,80,5.291478e-02,69.7816
CB-CMS,90,6.289793e-02,65.7867
CB-CMS,100,4.231615e-02,71.5931
CB-CMS,110,3.429295e-02,71.9915
CB-CMS,120,3.016010e-02,74.105
CB-CMS,130,2.453447e-02,70.9566
CB-CMS,140,2.131968e-02,74.103
CB-CMS,150,1.518474e-02,77.1908
CB-CMS,160,1.368547e-02,82.3221
CB-CMS,170,1.383232e-02,84.6727
CB-CMS,180,1.484822e-02,84.3709
CB-CMS,190,1.159524e-02,89.0762
CB-CMS,200,1.221944e-02,91.3471
CB-CMS,210,9.934273e-03,92.5419
CB-CMS,220,1.036494e-02,93.0512
CB-CMS,230,9.477528e-03,93.8814
CB-CMS,240,7.746250e-03,101.877
CB-CMS,250,6.115995e-03,108.375
CB-CMS,260,7.751580e-03,103.226
CB-CMS,270,7.333037e-03,107.31
CB-CMS,280,5.696541e-03,116.566
CB-CMS,290,6.566603e-03,111.704
CB-CMS,300,6.122544e-03,112.711
CB-CMS,310,5.724104e-03,117.092
CB-CMS,320,5.424314e-03,116.817
CB-CMS,330,5.100361e-03,120.761
CB-CMS,340,4.780748e-03,120.964
CB-CMS,350,4.625774e-03,126.934
CB-CMS,360,4.368701e-03,127.034
CB-CMS,370,4.199246e-03,133.844
CB-CMS,380,3.984298e-03,130.672
CB-CMS,390,3.788291e-03,139.867
CB-CMS,400,3.644922e-03,136.329
CMS-INTRD,50,1.1590e+01,18.4713
CMS-INTRD,60,1.4790e+00,19.3699
CMS-INTRD,70,4.6361e-01,20.6358
CMS-INTRD,80,2.7074e-01,22.3871
CMS-INTRD,90,1.7995e-01,24.6566
CMS-INTRD,100,1.5448e-01,25.3858
CMS-INTRD,110,1.1261e-01,27.4953
CMS-INTRD,120,9.9820e-02,27.6628
CMS-INTRD,130,9.7109e-02,27.6805
CMS-INTRD,140,9.5397e-02,28.7897
CMS-INTRD,150,6.3455e-02,33.587
CMS-INTRD,160,5.9208e-02,33.9485
CMS-INTRD,170,5.0393e-02,35.3753
CMS-INTRD,180,4.3821e-02,39.1685
CMS-INTRD,190,4.2133e-02,40.0797
CMS-INTRD,200,3.7796e-02,41.4974
CMS-INTRD,210,4.3180e-02,42.8843
CMS-INTRD,220,3.1146e-02,45.9574
CMS-INTRD,230,3.2801e-02,47.5594
CMS-INTRD,240,2.6015e-02,49.7234
CMS-INTRD,250,2.6229e-02,51.4366
CMS-INTRD,260,2.4904e-02,53.1537
CMS-INTRD,270,2.6321e-02,52.7078
CMS-INTRD,280,2.7527e-02,54.9569
CMS-INTRD,290,2.5637e-02,56.4414
CMS-INTRD,300,1.9626e-02,63.7299
CMS-INTRD,310,2.0653e-02,63.7653
CMS-INTRD,320,1.9563e-02,65.7226
CMS-INTRD,330,1.7172e-02,68.3783
CMS-INTRD,340,1.4116e-02,74.1792
CMS-INTRD,350,1.3775e-02,75.2759
